История Бессмертного-9. Вне времени;https://litnet.com/ru/book/istoriya-bessmertnogo-9-vne-vremeni-b391436;179            RUB;Андрей Ефремов;https://litnet.com/ru/andrei-efremov-u524675
Звездный Лорд. Том 2;https://litnet.com/ru/book/zvezdnyi-lord-tom-2-b394212;Бесплатно;Александр Setroi Шаравар;https://litnet.com/ru/aleksandr-setroi-sharavar-u170918
Фантазия-2. Дотянуться до звёзд;https://litnet.com/ru/book/fantaziya-2-dotyanutsya-do-zvezd-b356775;159            RUB;Андрей Ефремов;https://litnet.com/ru/andrei-efremov-u524675
Антарус - 31;https://litnet.com/ru/book/antarus-31-b357083;Бесплатно;Виктор Снежен;https://litnet.com/ru/viktor-snezhen-u4996310
Лестница Совершенства: Рискованная ставка;https://litnet.com/ru/book/lestnica-sovershenstva-riskovannaya-stavka-b362602;139            RUB;Александр Светлый;https://litnet.com/ru/aleksandr-svetlyi-u3347531
Огребенцы;https://litnet.com/ru/book/ogrebency-b28407;Бесплатно;Денис Петриков;https://litnet.com/ru/denis-petrikov-u195854
Тёмный Травник. Верховья Стикса;https://litnet.com/ru/book/temnyi-travnik-verhovya-stiksa-b28475;129            RUB;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
Выжить в Антарктиде;https://litnet.com/ru/book/vyzhit-v-antarktide-b91693;Бесплатно;Нат Жарова;https://litnet.com/ru/nat-zharova-u12021
Жорж - иномирец;https://litnet.com/ru/book/zhorzh-inomirec-b99935;Бесплатно;Сергей Панченко;https://litnet.com/ru/sergei-panchenko-u90239
Сфера: герой поневоле;https://litnet.com/ru/book/sfera-geroi-ponevole-b192105;Бесплатно;Александр Светлый;https://litnet.com/ru/aleksandr-svetlyi-u3347531
Дисгардиум 5. Священная война;https://litnet.com/ru/book/disgardium-5-svyashchennaya-voina-b207555;179            RUB;Данияр Сугралинов;https://litnet.com/ru/daniyar-sugralinov-u87167
Warm. Генезис;https://litnet.com/ru/book/warm-genezis-b227205;129            RUB;Сергей Панченко;https://litnet.com/ru/sergei-panchenko-u90239
Дисгардиум 7. Демонические игры;https://litnet.com/ru/book/disgardium-7-demonicheskie-igry-b287020;199            RUB;Данияр Сугралинов;https://litnet.com/ru/daniyar-sugralinov-u87167
Разлом: Внешний мир;https://litnet.com/ru/book/razlom-vneshnii-mir-b340088;165            RUB;Немченко Александр Владимирович;https://litnet.com/ru/nemchenko-aleksandr-vladimirovich-u1442778
Старс Unlimited;https://litnet.com/ru/book/stars-unlimited-b353204;119            RUB;Алекс Кин;https://litnet.com/ru/aleks-kin-u2808594
Долгая дорога домой;https://litnet.com/ru/book/dolgaya-doroga-domoi-b67248;Бесплатно;Александр Демьянов;https://litnet.com/ru/aleksandr-demyanov-u780707
Две канистры бензина;https://litnet.com/ru/book/dve-kanistry-benzina-b169614;Бесплатно;Мария Зайцева;https://litnet.com/ru/mariya-zaiceva-u2892838
Разлом: Артефакт;https://litnet.com/ru/book/razlom-artefakt-b265261;Бесплатно;Немченко Александр Владимирович;https://litnet.com/ru/nemchenko-aleksandr-vladimirovich-u1442778
По ту сторону звезд;https://litnet.com/ru/book/po-tu-storonu-zvezd-b307096;Бесплатно;Нат Жарова;https://litnet.com/ru/nat-zharova-u12021
